language,stargazers_count,city,lon,lat
JavaScript,7793,Wales,-168.0875027,65.60959861
SQLPL,1975,Westport,171.5666665,-41.77443223
PHP,1857,Berlin,13.40154862,52.52181866
Python,1712,Southampton,-1.399976849,50.90003135
CoffeeScript,1683,Portland,-70.2455274,43.67216158
JavaScript,1650,Hamburg,9.999999144,53.55002464
JavaScript,1520,Tokyo,139.7514074,35.68501691
JavaScript,840,Athens,-83.3780221,33.96129783
HTML,671,New York,-73.98001693,40.74997906
Objective-C,518,Singapore,103.8558207,1.293033466
Go,428,Nagoya,136.9149914,35.15499758
